,op_name,tensor_idx,num_elements,stddev,mean_error,max_abs_error,mean_squared_error,mean_abs_error,correlation,scale,zero_point,tensor_name,range,rmse/scale
940,FULLY_CONNECTED,4762,2.0,0.008542396,0.00082943315,0.0135238925,0.00014233886,0.009676215,1.0,0.028996626,-33,model_1/configurable_dense/MatMul;model_1/configurable_dense/add,7.394139630000001,0.4114473547813783
94,RESHAPE,1378,8192.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999996,0.046847988,0,model_1/transformer/layer_0/mha/mhasdp_7/MatMul,11.94623694,0.0
439,RESHAPE,2758,8192.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999994,0.047268167,0,model_1/transformer/layer_3/mha/mhasdp_7/MatMul,12.053382585,0.0
636,RESHAPE,3546,8192.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999994,0.0451804,0,model_1/transformer/layer_5/mha/mhasdp_4/MatMul,11.521002000000001,0.0
510,RESHAPE,3042,8192.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999994,0.05214531,0,model_1/transformer/layer_4/mha/mhasdp_3/MatMul,13.29705405,0.0
549,RESHAPE,3198,8192.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999994,0.04517876,0,model_1/transformer/layer_4/mha/mhasdp_6/MatMul_1,11.520583799999999,0.0
499,RESHAPE,2998,8192.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999994,0.07196951,0,model_1/transformer/layer_4/mha/mhasdp_2/MatMul,18.35222505,0.0
879,MUL,4518,16384.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999992,0.11418668,12,model_1/transformer/layer_7/mha/mhasdp_5/truediv;model_1/transformer/layer_0/mha/mhasdp_0/Sqrt,29.1176034,0.0
880,ADD,4522,16384.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999992,0.11418668,12,model_1/transformer/layer_7/mha/mhasdp_5/add,29.1176034,0.0
868,MUL,4474,16384.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999992,0.12697971,4,model_1/transformer/layer_7/mha/mhasdp_4/truediv;model_1/transformer/layer_0/mha/mhasdp_0/Sqrt,32.37982605,0.0
869,ADD,4478,16384.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999992,0.12697971,4,model_1/transformer/layer_7/mha/mhasdp_4/add,32.37982605,0.0
825,ADD,4302,16384.0,0.0,0.0,0.0,0.0,0.0,0.999999999999999,0.13598675,14,model_1/transformer/layer_7/mha/mhasdp_0/add,34.67662125,0.0
824,MUL,4298,16384.0,0.0,0.0,0.0,0.0,0.0,0.999999999999999,0.13598675,14,model_1/transformer/layer_7/mha/mhasdp_0/truediv;model_1/transformer/layer_0/mha/mhasdp_0/Sqrt,34.67662125,0.0
890,MUL,4562,16384.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999988,0.10933761,7,model_1/transformer/layer_7/mha/mhasdp_6/truediv;model_1/transformer/layer_0/mha/mhasdp_0/Sqrt,27.88109055,0.0
877,RESHAPE,4510,8192.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999988,0.056023113,-9,model_1/transformer/layer_7/mha/mhasdp_5/MatMul,14.285893815,0.0
836,ADD,4346,16384.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999988,0.12091882,16,model_1/transformer/layer_7/mha/mhasdp_1/add,30.8342991,0.0
835,MUL,4342,16384.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999988,0.12091882,16,model_1/transformer/layer_7/mha/mhasdp_1/truediv;model_1/transformer/layer_0/mha/mhasdp_0/Sqrt,30.8342991,0.0
833,RESHAPE,4334,8192.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999988,0.05291048,7,model_1/transformer/layer_7/mha/mhasdp_1/MatMul,13.492172400000001,0.0
891,ADD,4566,16384.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999988,0.10933761,7,model_1/transformer/layer_7/mha/mhasdp_6/add,27.88109055,0.0
844,RESHAPE,4378,8192.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999988,0.062445894,-6,model_1/transformer/layer_7/mha/mhasdp_2/MatMul,15.92370297,0.0
224,ADD,1898,128.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999228,0.005956379,-128,model_1/transformer/layer_1/attention_layer_norm/add,1.5188766450000002,0.0
899,RESHAPE,4598,8192.0,0.0,0.0,0.0,0.0,0.0,0.9999828183831836,0.058974493,-11,model_1/transformer/layer_7/mha/mhasdp_7/MatMul,15.038495715000002,0.0
866,RESHAPE,4466,8192.0,0.0,0.0,0.0,0.0,0.0,0.999981391228338,0.05572299,6,model_1/transformer/layer_7/mha/mhasdp_4/MatMul,14.20936245,0.0
67,RESHAPE,1270,8192.0,0.0,0.0,0.0,0.0,0.0,0.9999726753955138,0.03469301,-4,model_1/transformer/layer_0/mha/mhasdp_4/MatMul_1,8.846717550000001,0.0
857,MUL,4430,16384.0,0.0,0.0,0.0,0.0,0.0,0.999956442911768,0.1088005,5,model_1/transformer/layer_7/mha/mhasdp_3/truediv;model_1/transformer/layer_0/mha/mhasdp_0/Sqrt,27.744127499999998,0.0
858,ADD,4434,16384.0,0.0,0.0,0.0,0.0,0.0,0.999956442911768,0.1088005,5,model_1/transformer/layer_7/mha/mhasdp_3/add,27.744127499999998,0.0
718,RESHAPE,3874,8192.0,0.0,0.0,0.0,0.0,0.0,0.999955743290179,0.061346024,3,model_1/transformer/layer_6/mha/mhasdp_1/MatMul,15.64323612,0.0
883,RESHAPE,4534,8192.0,0.0,0.0,0.0,0.0,0.0,0.9999536451255469,0.040423457,16,model_1/transformer/layer_7/mha/mhasdp_5/MatMul_1,10.307981535000001,0.0
888,RESHAPE,4554,8192.0,0.0,0.0,0.0,0.0,0.0,0.9999473605798268,0.047326487,-4,model_1/transformer/layer_7/mha/mhasdp_6/MatMul,12.068254185,0.0
83,RESHAPE,1334,8192.0,0.0,0.0,0.0,0.0,0.0,0.9999446750151968,0.05036935,2,model_1/transformer/layer_0/mha/mhasdp_6/MatMul,12.84418425,0.0
508,FULLY_CONNECTED,3034,8192.0,0.021982975,-0.0018437015,0.50137794,0.00048890064,0.016792735,0.999940704545676,0.05214531,0,model_1/transformer/layer_3/output_layer_norm/mul_1;model_1/transformer/layer_3/output_layer_norm/add_1;model_1/transformer/layer_4/mha/mhasdp_3/key/MatMul;model_1/transformer/layer_4/mha/mhasdp_3/key/add1,13.29705405,0.42402850162563477
497,FULLY_CONNECTED,2990,8192.0,0.033493552,-0.00072470633,0.98893374,0.0011435053,0.022525478,0.9999404260015662,0.07196951,0,model_1/transformer/layer_3/output_layer_norm/mul_1;model_1/transformer/layer_3/output_layer_norm/add_1;model_1/transformer/layer_4/mha/mhasdp_2/key/MatMul;model_1/transformer/layer_4/mha/mhasdp_2/key/add1,18.35222505,0.46986224032581037
92,FULLY_CONNECTED,1370,8192.0,0.01681539,-0.00093924755,0.060814194,0.00028367192,0.013823371,0.9999390905961534,0.046847988,0,model_1/transformer/bert_embedding/layer_normalization/mul_1;model_1/transformer/bert_embedding/layer_normalization/add_1;model_1/transformer/layer_0/mha/mhasdp_7/key/MatMul;model_1/transformer/layer_0/mha/mhasdp_7/key/add1,11.94623694,0.3595151781196135
397,MUL,2590,16384.0,0.0,0.0,0.0,0.0,0.0,0.9999373997052012,0.05963714,-4,model_1/transformer/layer_3/mha/mhasdp_3/truediv;model_1/transformer/layer_0/mha/mhasdp_0/Sqrt,15.2074707,0.0
