fp32,qat,ptq,qatfp32,uuid
0.83,0.765,0.7275,0.8235294222831726,1~1~4
0.83,0.765,0.7275,0.8235294222831726,1~1~7
0.83,0.765,0.7275,0.8235294222831726,1~1~3
0.83,0.765,0.7275,0.8235294222831726,1~1~5
0.83,0.765,0.7275,0.8235294222831726,1~1~2
0.83,0.765,0.7275,0.8235294222831726,1~1~6
0.83,0.765,0.7275,0.8235294222831726,1~1~9
0.83,0.765,0.7275,0.8235294222831726,1~1~1
0.83,0.765,0.7275,0.8235294222831726,1~1~8
0.83,0.765,0.7275,0.8235294222831726,1~1~10
0.83,0.74,0.7275,0.8357843160629272,1~2~8
0.83,0.74,0.7275,0.8357843160629272,1~2~9
0.83,0.74,0.7275,0.8357843160629272,1~2~3
0.83,0.74,0.7275,0.8357843160629272,1~2~5
0.83,0.74,0.7275,0.8357843160629272,1~2~10
0.83,0.74,0.7275,0.8357843160629272,1~2~6
0.83,0.74,0.7275,0.8357843160629272,1~2~1
0.83,0.74,0.7275,0.8357843160629272,1~2~7
0.83,0.74,0.7275,0.8357843160629272,1~2~2
0.83,0.74,0.7275,0.8357843160629272,1~2~4
0.83,0.755,0.7275,0.8235294222831726,1~3~6
0.83,0.755,0.7275,0.8235294222831726,1~3~7
0.83,0.755,0.7275,0.8235294222831726,1~3~2
0.83,0.755,0.7275,0.8235294222831726,1~3~5
0.83,0.755,0.7275,0.8235294222831726,1~3~1
0.83,0.755,0.7275,0.8235294222831726,1~3~4
0.83,0.755,0.7275,0.8235294222831726,1~3~9
0.83,0.755,0.7275,0.8235294222831726,1~3~3
0.83,0.755,0.7275,0.8235294222831726,1~3~8
0.83,0.755,0.7275,0.8235294222831726,1~3~10
0.83,0.76,0.7275,0.811274528503418,1~4~3
0.83,0.76,0.7275,0.811274528503418,1~4~10
0.83,0.76,0.7275,0.811274528503418,1~4~2
0.83,0.76,0.7275,0.811274528503418,1~4~7
0.83,0.76,0.7275,0.811274528503418,1~4~4
0.83,0.76,0.7275,0.811274528503418,1~4~9
0.83,0.76,0.7275,0.811274528503418,1~4~1
0.83,0.76,0.7275,0.811274528503418,1~4~8
0.83,0.76,0.7275,0.811274528503418,1~4~6
0.83,0.76,0.7275,0.811274528503418,1~4~5
0.83,0.7425,0.7275,0.813725471496582,1~5~8
0.83,0.7425,0.7275,0.813725471496582,1~5~1
0.83,0.7425,0.7275,0.813725471496582,1~5~3
0.83,0.7425,0.7275,0.813725471496582,1~5~7
0.83,0.7425,0.7275,0.813725471496582,1~5~5
0.83,0.7425,0.7275,0.813725471496582,1~5~9
0.83,0.7425,0.7275,0.813725471496582,1~5~6
0.83,0.7425,0.7275,0.813725471496582,1~5~2
0.83,0.7425,0.7275,0.813725471496582,1~5~4
0.83,0.7425,0.7275,0.813725471496582,1~5~10
0.8425,0.75,0.67,0.8235294222831726,2~1~1
0.8425,0.75,0.67,0.8235294222831726,2~1~5
0.8425,0.75,0.67,0.8235294222831726,2~1~2
0.8425,0.75,0.67,0.8235294222831726,2~1~7
0.8425,0.75,0.67,0.8235294222831726,2~1~4
0.8425,0.75,0.67,0.8235294222831726,2~1~9
0.8425,0.75,0.67,0.8235294222831726,2~1~6
0.8425,0.75,0.67,0.8235294222831726,2~1~10
0.8425,0.75,0.67,0.8235294222831726,2~1~8
0.8425,0.75,0.67,0.8235294222831726,2~1~3
0.8425,0.7475,0.67,0.8161764740943909,2~2~3
0.8425,0.7475,0.67,0.8161764740943909,2~2~1
0.8425,0.7475,0.67,0.8161764740943909,2~2~5
0.8425,0.7475,0.67,0.8161764740943909,2~2~4
0.8425,0.7475,0.67,0.8161764740943909,2~2~6
0.8425,0.7475,0.67,0.8161764740943909,2~2~10
0.8425,0.7475,0.67,0.8161764740943909,2~2~2
0.8425,0.7475,0.67,0.8161764740943909,2~2~8
0.8425,0.7475,0.67,0.8161764740943909,2~2~9
0.8425,0.7475,0.67,0.8161764740943909,2~2~7
0.8425,0.7425,0.67,0.8382353186607361,2~3~4
0.8425,0.7425,0.67,0.8382353186607361,2~3~10
0.8425,0.7425,0.67,0.8382353186607361,2~3~2
0.8425,0.7425,0.67,0.8382353186607361,2~3~9
0.8425,0.7425,0.67,0.8382353186607361,2~3~6
0.8425,0.7425,0.67,0.8382353186607361,2~3~8
0.8425,0.7425,0.67,0.8382353186607361,2~3~5
0.8425,0.7425,0.67,0.8382353186607361,2~3~1
0.8425,0.7425,0.67,0.8382353186607361,2~3~3
0.8425,0.7425,0.67,0.8382353186607361,2~3~7
0.8425,0.75,0.67,0.8210784196853638,2~4~6
0.8425,0.75,0.67,0.8210784196853638,2~4~7
0.8425,0.75,0.67,0.8210784196853638,2~4~3
0.8425,0.75,0.67,0.8210784196853638,2~4~2
0.8425,0.75,0.67,0.8210784196853638,2~4~9
0.8425,0.75,0.67,0.8210784196853638,2~4~8
0.8425,0.75,0.67,0.8210784196853638,2~4~5
0.8425,0.75,0.67,0.8210784196853638,2~4~4
0.8425,0.75,0.67,0.8210784196853638,2~4~1
0.8425,0.75,0.67,0.8210784196853638,2~4~10
0.8425,0.7975,0.67,0.8186274766921997,2~5~1
0.8425,0.7975,0.67,0.8186274766921997,2~5~3
0.8425,0.7975,0.67,0.8186274766921997,2~5~5
0.8425,0.7975,0.67,0.8186274766921997,2~5~7
0.8425,0.7975,0.67,0.8186274766921997,2~5~2
0.8425,0.7975,0.67,0.8186274766921997,2~5~10
0.8425,0.7975,0.67,0.8186274766921997,2~5~8
0.8425,0.7975,0.67,0.8186274766921997,2~5~4
0.8425,0.7975,0.67,0.8186274766921997,2~5~9
0.8425,0.7975,0.67,0.8186274766921997,2~5~6
