fp32acc,QATacc,PTQacc,QATfp32acc,UUID
0.8325,0.7525,0.755,0.8235294222831726,qat_sdp-layernorm
0.8325,0.7475,0.755,0.8210784196853638,qat_mha-sdp-layernorm
0.8325,0.745,0.755,0.8235294222831726,qat_mha-fullsdp-layernorm
0.825,0.58,0.575,0.8259803652763367,qat_emb-mha-fullsdp-layernorm
0.825,0.4625,0.575,0.8210784196853638,qat_enc-emb-mha-sdp-layernorm
0.8275,0.725,0.7275,0.8308823704719543,qat_norm_blast
0.8275,0.7025,0.7275,0.8186274766921997,qat_norm_blast2
0.8275,0.695,0.7275,0.8210784196853638,qat_norm_blast2
0.8275,0.7025,0.7275,0.8186274766921997,qat_norm_blast3
0.8275,0.7275,0.7275,0.8308823704719543,qat_norm_blast4
0.8275,0.7025,0.7275,0.8186274766921997,minmax_mean_quantizer
0.8275,0.6725,0.7275,0.8235294222831726,minmax_mean_quantizer2
0.8275,0.605,0.7275,0.813725471496582,minmax_mean_quantizer3
