,loss,accuracy,val_loss,val_accuracy,alpha,beta
0,[0.3014773428440094],[0.9029443860054016],[0.40346571803092957],[0.845588207244873],1.0015502527231068,-0.0015502527231068264
1,[0.2613072693347931],[0.9138861894607544],[0.446938157081604],[0.813725471496582],0.9304748178702884,0.0695251821297116
2,[0.2441539317369461],[0.9229636788368225],[0.4989958703517914],[0.7990196347236633],0.8527692837465408,0.14723071625345918
3,[0.21505635976791382],[0.9354759454727173],[0.44510167837142944],[0.813725471496582],0.7701818062135434,0.22981819378645663
4,[0.21220934391021729],[0.9362119436264038],[0.5065122842788696],[0.7843137383460999],0.685,0.31499999999999995
5,[0.1997286081314087],[0.9416094422340393],[0.41035422682762146],[0.843137264251709],0.5998181937864567,0.40018180621354327
6,[0.21599671244621277],[0.9411187171936035],[0.4354037344455719],[0.8235294222831726],0.5172307162534593,0.4827692837465407
7,[0.2180585116147995],[0.9384199976921082],[0.45270514488220215],[0.8259803652763367],0.43952518212971164,0.5604748178702883
8,[0.20714105665683746],[0.9416094422340393],[0.5153396129608154],[0.779411792755127],0.36844974727689334,0.6315502527231067
9,[0.22256186604499817],[0.929833173751831],[0.42205190658569336],[0.8235294222831726],0.3050991901906731,0.6949008098093269
10,[0.2022496610879898],[0.9452894926071167],[0.43909308314323425],[0.8210784196853638],0.0,1.0
11,[0.2092086523771286],[0.9406280517578125],[0.4742487967014313],[0.8088235259056091],0.0,1.0
12,[0.20051515102386475],[0.9430814385414124],[0.4808361530303955],[0.813725471496582],0.0,1.0
13,[0.19717489182949066],[0.9423454403877258],[0.4902705252170563],[0.7965686321258545],0.0,1.0
14,[0.2048734575510025],[0.940873384475708],[0.5149872303009033],[0.7867646813392639],0.0,1.0
15,[0.22201628983020782],[0.9317958950996399],[0.4756017327308655],[0.8161764740943909],0.0,1.0
16,[0.17953211069107056],[0.9536309838294983],[0.5427858233451843],[0.7892156839370728],0.0,1.0
17,[0.17626550793647766],[0.9538763761520386],[0.49867334961891174],[0.7892156839370728],0.0,1.0
18,[0.1896970272064209],[0.9477428793907166],[0.5203871130943298],[0.7965686321258545],0.0,1.0
19,[0.17479953169822693],[0.9553483724594116],[0.5219241976737976],[0.7990196347236633],0.0,1.0
20,[0.18659482896327972],[0.9479882121086121],[0.5927541255950928],[0.7475489974021912],0.0,1.0
21,[0.17464248836040497],[0.9509322643280029],[0.49533140659332275],[0.8014705777168274],0.0,1.0
22,[0.17919406294822693],[0.9528949856758118],[0.48673054575920105],[0.8014705777168274],0.0,1.0
23,[0.16265852749347687],[0.9617272019386292],[0.5198613405227661],[0.7916666865348816],0.0,1.0
